City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,CityDate,Temp (C)
72,Øksfjord,70.24,22.35,291.15,67,55,4.6,NO,1594738445,18.0
73,Grand Gaube,-20.01,57.66,294.82,83,0,0.45,MU,1594738427,21.670000000000016
74,Codrington,-38.27,141.97,278.56,93,3,2.49,AU,1594738442,5.410000000000025
75,Kahului,20.89,-156.47,297.15,83,90,3.6,US,1594738519,24.0
76,Lüderitz,-26.65,15.16,294.15,30,0,11.8,NA,1594738410,21.0
77,Saint-Philippe,-21.36,55.77,296.15,73,11,1.5,RE,1594738411,23.0
78,Norman Wells,65.28,-126.83,287.15,87,75,1.0,CA,1594738414,14.0
79,Sakakah,29.97,40.21,315.15,8,0,2.1,SA,1594738609,42.0
80,Inírida,3.87,-67.92,301.63,77,3,1.17,CO,1594738609,28.480000000000018
81,Miles City,46.41,-105.84,290.15,51,90,1.5,US,1594738610,17.0
82,Itoman,26.12,127.67,302.15,89,40,4.1,JP,1594738610,29.0
83,Nanortalik,60.14,-45.24,278.58,94,100,1.87,GL,1594738278,5.430000000000007
84,Brandfort,-28.7,26.46,281.15,45,20,7.2,ZA,1594738610,8.0
85,Ferme-Neuve,46.7,-75.45,296.72,50,1,2.77,CA,1594738610,23.57000000000005
86,São João da Barra,-21.64,-41.05,299.15,69,75,7.2,BR,1594738420,26.0
87,Kapaa,22.08,-159.32,298.15,83,75,5.1,US,1594738290,25.0
88,Hay River,60.82,-115.8,284.15,100,90,8.2,CA,1594738610,11.0
89,Cayenne,4.93,-52.33,305.15,55,75,2.6,GF,1594738422,32.0
90,Marion,39.77,-86.16,299.82,64,20,1.5,US,1594738609,26.670000000000016
91,Cantaura,9.31,-64.36,303.33,60,74,4.05,VE,1594738611,30.180000000000007
92,Petrovsk,52.31,45.39,300.55,62,96,3.43,RU,1594738611,27.400000000000034
93,Pirojpur,22.57,89.98,300.79,87,99,3.51,BD,1594738611,27.640000000000043
94,Longyearbyen,78.22,15.64,282.15,66,75,2.1,SJ,1594738419,9.0
95,Arraial do Cabo,-22.97,-42.03,296.15,88,75,5.1,BR,1594738207,23.0
96,Zhigansk,66.77,123.37,288.57,65,8,2.64,RU,1594738296,15.420000000000016
97,Borgarnes,64.54,-21.92,287.59,82,90,5.1,IS,1594738611,14.439999999999998
98,Pemba,-12.97,40.52,299.15,69,75,5.7,MZ,1594738611,26.0
99,Linxia Chengguanzhen,35.6,103.21,290.09,77,3,1.34,CN,1594738611,16.939999999999998
100,Roald,62.58,6.13,289.26,72,75,3.6,NO,1594738451,16.110000000000014
101,Palmer,42.16,-72.33,300.37,61,40,3.1,US,1594738500,27.220000000000027
102,Kendari,-3.94,122.5,296.69,92,30,1.5,ID,1594738612,23.54000000000002
103,Zaysan,47.47,84.87,292.05,40,100,2.69,KZ,1594738612,18.900000000000034
104,Toowoomba,-27.55,151.97,280.15,93,90,3.6,AU,1594738612,7.0
105,Golynki,54.87,31.39,290.91,72,100,4.97,RU,1594738612,17.760000000000048
106,New Norfolk,-42.78,147.06,281.48,82,26,0.83,AU,1594738410,8.330000000000041
107,Chokurdakh,70.63,147.92,276.01,80,20,7.24,RU,1594738407,2.8600000000000136
108,Castro,-24.79,-50.01,293.36,63,13,1.2,BR,1594738412,20.210000000000036
109,Liverpool,53.41,-2.98,288.15,72,75,6.7,GB,1594738612,15.0
110,Batticaloa,7.71,81.69,302.88,69,100,4.85,LK,1594738612,29.730000000000018
